Date,Reviewer,Citation,Version,Score,Comment
11/9/2013,Maya Rosen,Genesis 1,Wikisource Tanach with Trope,1,Corrected one dash. 
11/9/2013,Maya Rosen,Genesis 2,Wikisource Tanach with Trope,0.6,"The Koren does not put nikkud under yud hay vav hay, and the Sefaria text does. Also, the fact that the ה in בהבראם is small is not marked in the Sefaria text (2:4). I'm not sure if there's a way to do that. The ר in ונהר has a dagesh, which it shouldn't, and I'm not sure how to get rid of the dagesh while also keeping the trop on that letter (2:10)"
11/10/2013,Maya Rosen,Genesis 3,Wikisource Tanach with Trope,1,Corrected two dashes.
11/10/2013,Maya Rosen,Genesis 4,Wikisource Tanach with Trope,0.4,"I added a vav in verse 13 to מנשוא, but now the nikkud is wrong on the ש, but I'm not sure how to change the nikkud. Also, in verse 18, the kamatz should be under the first י in מחייאל but the Sefaria text has it under the second. Again, I don't know how to change the nikkud."
11/13/2013,Maya Rosen,Genesis 5,Wikisource Tanach with Trope,0.4,"The nikkud under the first ר in אררה is a patach in the Koren, and a shva in Sefaria. Not sure how to change nikkud."
11/13/2013,Maya Rosen,Genesis 6,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/13/2013,Maya Rosen,Genesis 7,Wikisource Tanach with Trope,0.4,"I added a vav in verse 11. Also, In verse 8, the pashta is over the wrong syllable."
11/14/2013,Maya Rosen,Genesis 8,Wikisource Tanach with Trope,0.4,"I added a vav from one word in verse 20 and deleted a vav from a different word also in verse 20, but now the nikkud is wrong in those words."
11/14/2013,Maya Rosen,Genesis 9,Wikisource Tanach with Trope,0.4,"In verse 14, there is a shva under the nun in the second word in what should be a kamatz. Also, note that in verse 29, there was actually a mistake in a word (ויהיו במקום ויהי)."
11/14/2013,Maya Rosen,Genesis 10,Wikisource Tanach with Trope,0.4,"In verse 2, there is a chataf patach under the kaf of ashkenaz where there should be a shva. In verse 32, there is an azla on ומאלה in the Sefaria text, and the Koren has it as a revi'i."
11/14/2013,Maya Rosen,Genesis 11,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/14/2013,Maya Rosen,Genesis 12,Wikisource Tanach with Trope,0.4,"In verse 3, there is a chataf patach under the ר in ואברכה, and it should be a shva. Then, the next word has a shva under a resh where it should have a chataf patach. In verse 15, there is a shva under a lammed that should be a chataf patach."
11/14/2013,Maya Rosen,Genesis 13,Wikisource Tanach with Trope,0.4,"In verse 3, Sefaria has a kra/ktiv distinction that Koren does not have."
11/14/2013,Maya Rosen,Genesis 14,Wikisource Tanach with Trope,0.4,"There is a kra/ktiv in verse 2 in which Sefaria and Koren have different spellings of the kra. I'm not sure if that matters or not since they'd both be pronounced the same way. There was also a yud ktiv male/chaser issue that I fixed, and one word had a dash in the middle of it, which is not a problem I had seen before."
11/14/2013,Maya Rosen,Genesis 15,Wikisource Tanach with Trope,0.4,"In verse 5, השמימה should have a katon but the Sefaria text has a revi'i"
11/14/2013,Maya Rosen,Genesis 16,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/14/2013,Maya Rosen,Genesis 17,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/14/2013,Maya Rosen,Genesis 18,Wikisource Tanach with Trope,0.4,"In verse 9, the word אליו should have dots over it, and it doesn't. In verse 17, the מ in המכסה hould have a chataf patach, but the Sefaria text has it as a shva."
11/19/2013,Maya Rosen,Genesis 19,Wikisource Tanach with Trope,1,"In verse 20, the Sefaria text said היא instead of הוא. I also deleted a dash."
11/19/2013,Maya Rosen,Genesis 20,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/19/2013,Maya Rosen,Genesis 21,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/21/2013,Maya Rosen,Genesis 22,Wikisource Tanach with Trope,0.4,"The word אלוהים has a zakkef gadol on it in the Koren text, and a gershayim in the Sefaria text"
11/21/2013,Maya Rosen,Genesis 23,Wikisource Tanach with Trope,0.4,"In verse 9, the nikkud on בתוככם is incorrect."
11/21/2013,Maya Rosen,Genesis 24,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/21/2013,Maya Rosen,Genesis 25,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
11/21/2013,Maya Rosen,Genesis 26,Wikisource Tanach with Trope,0.4,The nikkud of ואברכך in verse 3 is wrong. Also הוא/היא. And there's an extra dash in verse 16 that I couldn't delete without messing up the nikkud.
11/21/2013,Maya Rosen,Genesis 27,Wikisource Tanach with Trope,0.4,"The word ארריך has the wrong nikkud in verse 29. Also, verse 29 has a kri/ktiv that the Koren textdoes not have. In verse 31, there was an extra vav, but now the nikkud is wrong. The kuf in verse 46 is small in the Koren text and not indicated as such in the Sefaria text."
11/21/2013,Maya Rosen,Genesis 28,Wikisource Tanach with Trope,1,"Compared against printed Koren, no issues found."
