ref,volume_title,section_title,chapter_title
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 1:1",Volume I; Family and Purity / כרך ראשון; משפחה וטהרה,I Groom and Bride / חלק ראשון; חתן וכלה,1) The Virtue of Marriage / א) מעלת הנישואין
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 2:1",,,2) Disclosure and Concealment of Medical Information in Matchmaking / ב) גילוי והסתרת מידע רפואי בשידוכים
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 3:1",,,3) Medical Investigations Before the Wedding / ג) בירורים רפואיים לפני החתונה
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 4:1",,,4) Setting the Wedding Date With or Without Pills / ד) קביעת תאריך החתונה עם גלולות או בלעדיהן
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 5:1",,,5) Laws of the Bride / ה) דיני כלה
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 6:1",,,6) Marriage Ceremony of a Niddah and Ceremonies in Special Situations / ו) חופת נִדה וחופות במצבים מיוחדים
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 7:1",,,7) Consummation of Marriage and the Beginning of Marital Life / ז) ביאת מצווה וראשית חיי הנישואין
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 8:1",,,8) Medical Hymenotomy / ח) חיתוך בתולים באופן רפואי
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 9:1",,,9) Marriage with Partners Who Cannot Give Birth / ט) נישואין עם בני זוג שאינם יכולים ללדת
"Sefer Puah, First Volume; Family and Purity, I Groom and Bride 10:1",,,"10) Second, Late and Special Marriages / י) נישואים שניים, מאוחרים ומיוחדים"
"Sefer Puah, First Volume; Family and Purity, II Family Purity 11:1",,II Family Purity / חלק שני; טהרת המשפחה,11) When a Woman Becomes Forbidden; Halachic Introduction / יא) מתי אישה נאסרת; מבוא הלכתי
"Sefer Puah, First Volume; Family and Purity, II Family Purity 12:1",,,12) Hefsek Taharah and Examinations of the Seven Clean Days / יב) הפסק טהרה ובדיקות שבעה נקיים
"Sefer Puah, First Volume; Family and Purity, II Family Purity 13:1",,,13) Stains / יג) כתמים
"Sefer Puah, First Volume; Family and Purity, II Family Purity 14:1",,,14) Blood from a Wound / יד) דם מכה (דם פצע)
"Sefer Puah, First Volume; Family and Purity, II Family Purity 15:1",,,15) Separation Near Menstruation / טו) פרישה סמוך לווסת
