prio,Section,English Title,Hebrew Title,Transliterated Title,Completion,Title Variants,Categories,Text Structure,Ready for upload?,Length,Lengths,Order,Genre/Tags,Availability Online,Author,One line bio,Brief description,Talmud Page Numbers
0,6.1.1,Berakhot,תלמוד ברכות,Talmud Berakhot,100%,,"Talmud, Bavli, Seder Zeraim","Daf, Line",,,,1,"Talmud, Babylonian Talmud",,,,,64a
0,6.1.2,Shabbat,תלמוד שבת,Talmud Shabbat,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,2,"Talmud, Babylonian Talmud",,,,,157b 
0,6.1.2,Eiruvin,תלמוד עירובין,Talmud Eiruvin,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,3,"Talmud, Babylonian Talmud",,,,,105a
0,6.1.2,Pesachim,תלמוד פסחים,Talmud Pesachim,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,4,"Talmud, Babylonian Talmud",,,,,121b
0,6.1.2,Yoma,תלמוד יומא,Talmud Yoma,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,5,"Talmud, Babylonian Talmud",,,,,88a
0,6.1.2,Sukkah,תלמוד סוכה,Talmud Sukkah,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,6,"Talmud, Babylonian Talmud",,,,,56b
0,6.1.2,Beitzah,תלמוד ביצה,Talmud Beitsah,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,7,"Talmud, Babylonian Talmud",,,,,40b 
0,6.1.2,Rosh Hashanah,תלמוד ראש השנה,Talmud Rosh Hashanah,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,8,"Talmud, Babylonian Talmud",,,,,35a
0,6.1.2,Taanit,תלמוד תענית,Talmud Ta'anit,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,9,"Talmud, Babylonian Talmud",,,,,31a
0,6.1.2,Megillah,תלמוד מגילה,Talmud Megillah,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,10,"Talmud, Babylonian Talmud",,,,,32a
0,6.1.2,Moed Kattan,תלמוד מועד קטן,Talmud Moed Katan,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,11,"Talmud, Babylonian Talmud",,,,,29a 
0,6.1.2,Hagigah,תלמוד חגיגה,Talmud Chagigah,100%,,"Talmud, Bavli, Seder Moed","Daf, Line",,,,12,"Talmud, Babylonian Talmud",,,,,27a
0,6.1.3,Gittin,תלמוד גיטין,Talmud Gittin,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,18,"Talmud, Babylonian Talmud",,,,,90b
0,6.1.3,Ketubot,תלמוד כתובות,Talmud Ketubot,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,14,"Talmud, Babylonian Talmud",,,,,112b
0,6.1.3,Kiddushin,תלמוד קידושין,Talmud Kiddushin,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,19,"Talmud, Babylonian Talmud",,,,,88b
0,6.1.3,Nazir,תלמוד נזיר,Talmud Nazir,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,16,"Talmud, Babylonian Talmud",,,,,66b
0,6.1.3,Nedarim,תלמוד נדרים,Talmud Nedarim,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,15,"Talmud, Babylonian Talmud",,,,,91b
0,6.1.3,Sotah,תלמוד סוטה,Talmud Sotah,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,17,"Talmud, Babylonian Talmud",,,,,49b
0,6.1.3,Yevamot,תלמוד יבמות,Talmud Yevamot,100%,,"Talmud, Bavli, Seder Nashim","Daf, Line",,,,13,"Talmud, Babylonian Talmud",,,,,122b
0,6.1.4,Avodah Zarah,תלמוד עבודה זרה,Talmud Avodah Zarah,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,27,"Talmud, Babylonian Talmud",,,,,76b
0,6.1.4,Bava Batra,תלמוד בבא בתרא,Talmud Bava Batra,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,22,"Talmud, Babylonian Talmud",,,,,176b
0,6.1.4,Bava Kamma,תלמוד בבא קמא,Talmud Bava Kamma,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,20,"Talmud, Babylonian Talmud",,,,,119b
0,6.1.4,Bava Metzia,תלמוד בבא מציעא,Talmud Bava Metsia,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,21,"Talmud, Babylonian Talmud",,,,,119a
0,6.1.4,Horayot,תלמוד הוריות,Talmud Horayot,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,25,"Talmud, Babylonian Talmud",,,,,14a
0,6.1.4,Makkot,תלמוד מכות,Talmud Makkot,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,24,"Talmud, Babylonian Talmud",,,,,24b
0,6.1.4,Sanhedrin,תלמוד סנהדרין,Talmud Sanhedrin,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,23,"Talmud, Babylonian Talmud",,,,,113b
0,6.1.4,Shevuot,תלמוד שבועות,Talmud Shevu'ot,100%,,"Talmud, Bavli, Seder Nezikin","Daf, Line",,,,26,"Talmud, Babylonian Talmud",,,,,49b
0,6.1.5,Arakhin,תלמוד ערכין,Talmud Arakhin,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,32,"Talmud, Babylonian Talmud",,,,,34a
0,6.1.5,Bekhorot,תלמוד בכורות,Talmud Bekhorot,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,31,"Talmud, Babylonian Talmud",,,,,61a
0,6.1.5,Chullin,תלמוד חולין,Talmud Chullin,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,30,"Talmud, Babylonian Talmud",,,,,142a
0,6.1.5,Keritot,תלמוד כריתות,Talmud Keritot,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,34,"Talmud, Babylonian Talmud",,,,,28b
0,6.1.5,Meilah,תלמוד מעילה,Talmud Me'ilah,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,35,"Talmud, Babylonian Talmud",,,,,22a
0,6.1.5,Menachot,תלמוד מנחות,Talmud Menachot,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,29,"Talmud, Babylonian Talmud",,,,,110a
0,6.1.5,Temurah,תלמוד תמורה,Talmud Temurah,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,33,"Talmud, Babylonian Talmud",,,,,34a
0,6.1.5,Zevachim,תלמוד זבחים,Talmud Zevachim,100%,,"Talmud, Bavli, Seder Kodashim","Daf, Line",,,,28,"Talmud, Babylonian Talmud",,,,,120b
0,6.1.6,Niddah,תלמוד נדה,Talmud Niddah,100%,,"Talmud, Bavli, Seder Tahorot","Daf, Line",,,,36,"Talmud, Babylonian Talmud",,,,,73a
0,6.2.1.1,Jerusalem Talmud Berakhot,תלמוד ירושלמי ברכות,Talmud Yerushalmi Berakhot,100%,"JT Berakhot, JT Berachot, Yerushalmi Berakhot, Yerushalmi Berachot","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,1,Jerusalem Talmud,,,,,
0,6.2.1.2,Jerusalem Talmud Peah ,תלמוד ירושלמי פאה,Talmud Yerushalmi Pe'ah,100%,"JT Peah, JT Pe'ah, Yerushalmi Peah, Yerushalmi Pe'ah","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,2,Jerusalem Talmud,,,,,
0,6.2.1.3,Jerusalem Talmud Demai ,תלמוד ירושלמי דמאי,Talmud Yerushalmi Demai,100%,"JT Demai, JT Dmai, Yerushalmi Demai, Yerushalmi Dmai","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,3,Jerusalem Talmud,,,,,
0,6.2.1.4,Jerusalem Talmud Kilayim,תלמוד ירושלמי כלאים,Talmud Yerushalmi Kilayim,100%,"JT Kilayim, Yerushalmi Kilayim","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,4,Jerusalem Talmud,,,,,
0,6.2.1.5, Jerusalem Talmud Shevi'it ,תלמוד ירושלמי שביעית,Talmud Yerushalmi Shevi'it,100%,"JT Shevi'it, JT Sheviit, Yerushalmi Shevi'it, Yerushalmi Sheviit","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,5,Jerusalem Talmud,,,,,
0,6.2.1.6,Jerusalem Talmud Terumot ,תלמוד ירושלמי תרומות,Talmud Yerushalmi Terumot,100%,"JT Terumot, JT Trumot, Yerushalmi Terumot, Yerushalmi Trumot, Yerushalmi Terumos","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,6,Jerusalem Talmud,,,,,
0,6.2.1.7,Jerusalem Talmud Ma'asrot,תלמוד ירושלמי מעשרות,Talmud Yerushalmi Ma'asrot,100%,"JT Ma'asrot, JT Maasrot, Yerushalmi Ma'asrot, Yerushalmi Maasrot","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,7,Jerusalem Talmud,,,,,
0,6.2.1.8, Jerusalem Talmud Ma'aser Sheni ,תלמוד ירושלמי מעשר שני,Talmud Yerushalmi Ma'aser Sheni,100%,"JT Ma'aser Sheni, JT Maaser Sheni, Yerushalmi Ma'aser Sheni, Yerushalmi Maaser Sheni","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,8,Jerusalem Talmud,,,,,
0,6.2.1.9,Jerusalem Talmud Hallah  ,תלמוד ירושלמי חלה,Talmud Yerushalmi Challah,100%,"JT Challah, JT Hallah, Yerushalmi Challah, Yerushalmi Hallah","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,9,Jerusalem Talmud,,,,,
0,6.2.1.10,Jerusalem Talmud Orlah ,תלמוד ירושלמי ערלה,Talmud Yerushalmi Orlah,100%,"JT Orlah, Yerushalmi Orlah","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,10,Jerusalem Talmud,,,,,
0,6.2.1.11,Jerusalem Talmud Bikkurim ,תלמוד ירושלמי בכורים,Talmud Yerushalmi Bikkurim,100%,"JT Bikkurim, JT Bikurim, Yerushalmi Bikkurim, Yerushalmi Bikurim","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,11,Jerusalem Talmud,,,,,
0,6.2.2.1,Jerusalem Talmud Shabbat,תלמוד ירושלמי שבת,Talmud Yerushalmi Shabbat,100%,"JT Shabbat, Yerushalmi Shabbat, Yerushalmi Shabbos","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,12,Jerusalem Talmud,,,,,
0,6.2.2.2,Jerusalem Talmud Eiruvin,תלמוד ירושלמי עירובין,Talmud Yerushalmi Eiruvin,100%,"JT Eiruvin, JT Eruvin, Yerushalmi Eiruvin, Yerushalmi Eruvin","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,13,Jerusalem Talmud,,,,,
0,6.2.2.3,Jerusalem Talmud Pesachim,תלמוד ירושלמי פסחים,Talmud Yerushalmi Pesachim,100%,"JT Pesachim, JT Psachim, Yerushalmi Pesachim, Yerushalmi Psachim","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,14,Jerusalem Talmud,,,,,
0,6.2.2.4,Jerusalem Talmud Yoma,תלמוד ירושלמי יומא,Tamud Yerushalmi Yoma,100%,"JT Yoma, Yerushalmi Yoma","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,15,Jerusalem Talmud,,,,,
0,6.2.2.5,Jerusalem Talmud Shekalim,תלמוד ירושלמי שקלים,Talmud Yerushalmi Shekalim,100%,"JT Shekalim, JT Shkalim, Yerushalmi Shekalim, Yerushalmi Shkalim","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,16,Jerusalem Talmud,,,,,
0,6.2.2.7,Jerusalem Talmud Sukkah,תלמוד ירושלמי סוכה,Talmud Yerushalmi Sukkah,100%,"JT Sukkah, Yerushalmi Sukkah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,17,Jerusalem Talmud,,,,,
0,6.2.2.6,Jerusalem Talmud Rosh Hashanah,תלמוד ירושלמי ראש השנה,Talmud Yerushalmi Rosh Hashanah,100%,"JT Rosh HaShanah,Yerushalmi Rosh HaShanah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,18,Jerusalem Talmud,,,,,
0,6.2.2.8,Jerusalem Talmud Beitzah,תלמוד ירושלמי ביצה,Talmud Yerushalmi Beitsah,100%,"JT Beitzah, Yerushalmi Beitzah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,19,Jerusalem Talmud,,,,,
0,6.2.2.9,Jerusalem Talmud Ta'anit,תלמוד ירושלמי תענית,Talmud Yerushalmi Ta'anit,100%,"JT Ta'anit, JT Taanit, Yerushalmi Ta'anit, Yerushalmi Taanit, Yerushalmi Taanis","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,20,Jerusalem Talmud,,,,,
