prio,Section,English Title,Hebrew Title,Transliterated Title,Completion,Title Variants,Categories,Text Structure,Ready for upload?,Length,Lengths,Order
0,6.2.1.1,Jerusalem Talmud Berakhot,תלמוד ירושלמי ברכות,Talmud Yerushalmi Berakhot,100%,"JT Berakhot, JT Berachot, Yerushalmi Berakhot, Yerushalmi Berachot","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,1
0,6.2.1.2,Jerusalem Talmud Peah ,תלמוד ירושלמי פאה,Talmud Yerushalmi Pe'ah,100%,"JT Peah, JT Pe'ah, Yerushalmi Peah, Yerushalmi Pe'ah","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,2
0,6.2.1.3,Jerusalem Talmud Demai ,תלמוד ירושלמי דמאי,Talmud Yerushalmi Demai,100%,"JT Demai, JT Dmai, Yerushalmi Demai, Yerushalmi Dmai","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,3
0,6.2.1.4,Jerusalem Talmud Kilayim,תלמוד ירושלמי כלאים,Talmud Yerushalmi Kilayim,100%,"JT Kilayim, Yerushalmi Kilayim","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,4
0,6.2.1.5, Jerusalem Talmud Shevi'it ,תלמוד ירושלמי שביעית,Talmud Yerushalmi Shevi'it,100%,"JT Shevi'it, JT Sheviit, Yerushalmi Shevi'it, Yerushalmi Sheviit","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,5
0,6.2.1.6,Jerusalem Talmud Terumot ,תלמוד ירושלמי תרומות,Talmud Yerushalmi Terumot,100%,"JT Terumot, JT Trumot, Yerushalmi Terumot, Yerushalmi Trumot, Yerushalmi Terumos","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,6
0,6.2.1.7,Jerusalem Talmud Ma'asrot,תלמוד ירושלמי מעשרות,Talmud Yerushalmi Ma'asrot,100%,"JT Ma'asrot, JT Maasrot, Yerushalmi Ma'asrot, Yerushalmi Maasrot","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,7
0,6.2.1.8, Jerusalem Talmud Ma'aser Sheni ,תלמוד ירושלמי מעשר שני,Talmud Yerushalmi Ma'aser Sheni,100%,"JT Ma'aser Sheni, JT Maaser Sheni, Yerushalmi Ma'aser Sheni, Yerushalmi Maaser Sheni","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,8
0,6.2.1.9,Jerusalem Talmud Hallah  ,תלמוד ירושלמי חלה,Talmud Yerushalmi Challah,100%,"JT Challah, JT Hallah, Yerushalmi Challah, Yerushalmi Hallah","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,9
0,6.2.1.10,Jerusalem Talmud Orlah ,תלמוד ירושלמי ערלה,Talmud Yerushalmi Orlah,100%,"JT Orlah, Yerushalmi Orlah","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,10
