,Term in Hebrew,Plural Form and Alternative Spellings - English,Plural Form and Alternative Spellings - Hebrew,Prime Location(s),Proposed Definition,See Also (other terms)
Am Ha'aretz,עם הארץ,Amei Ha'aretz,עמי הארץ,,one who is lax in observing tithes and purity laws,
Asham,אשם,Ashamim,אשמים,,offering brought to alleviate guilt,
Atzeret,עצרת,,,,"Another name for Shavuot, the harvest festival",
Ba'al HaBayit,בעל הבית,Ba'alei Batim,בעלי בתים,,property owner,
Ba'al Keri,בעל קרי,,,,A male who has had a seminal emission buthas yet to purify himself by immersion in a Mikveh,
Baheret,בהרת,Beharot,,,type of diseased patch that creates impurity,
Beit HaMidrash,בית המדרש,"Batei Midrash, Batei Midrashot","בתי מדרש, בתי מדרשות",,Facility devoted to the study and teaching of Torah,
Beit Pras,בית הפרס,,,,a field in which a grave has been plowed over,
Beit Se'ah,בית סאה,Beit Se'in,,,"A measure of area, equivalent to that area of land large enough to require a Se'ah of seeds to sow it",
Bi'ur,ביעור,,,,Requirement to destroy Sabbatical produce when it is no longer readily available in the field,
Bikurim,בכורים,,,,First-fruits that must be brought to the Temple in Jerusalem and given to the Kohen,
Bohak,בהק,,,,dull blemish,
Chadash,חדש,,,,Grain from the current year that one is forbidden to eat until,
Challah,חלה,,,,"A portion of a batch of bread dough given to a Kohen which becomes holy upon separation, and can only be consumed by Kohanim or their household",
Chalutzah,חלוצה,Chalutzot,חלוצות,,The widow of a childless man released from the obligation of Levirate marriage by a ceremony performed by her brother-in-law,
Chalitzah,חליצה,,,Sotah 7:2,The ceremony performed to release a widow of a childless man from the obligation of Levirite marriage,
Chattat,חטאת,Chatta'ot,חטאות,,Offering brought to expiate sin; An alternate name for the red heifer offering,
Chaver,חבר,,,,one who scrupulously observes tithes and purity laws,
Chulin,חלין,,חולין,,Produce or food permitted for general consumption,
Chutz La'Aretz,חוץ לארץ,,,,Anywhere outside the borders of the Land of Israel,
Demai,דמאי,,,,produce from which it is uncertain whether tithes were already taken  ,
Dinar,דינר,,,,specific unit of money,
Eifah,איפה,,,,specific unit of volume,
Eruv,עירוב,,,,halachic merging of separate domains by means of setting aside an amount of food in a designated place,
Fundyon,פנדיון,,,,specific unit of money,
Gabachat,גבחת,,,,blemish that balds the top of the head,
Ger Toshav,גר תושב,,,,resident non-Jew who accepted the seven Noahide laws,
Gezerah Shavah,גזרה שוה,,גזרה שווה,,A technique of halachic interpretation employing an established link between identical or nearly identical words,
Hallel,הלל,,,,Psalms of thankskiving recited joyously and communally on many festivals,
Hefker,הפקר,,,,Property rendered ownerless by renunciation of its former owner,
Hekdesh,הקדש,Hekdeshot,הקדשות,,"Property, living or inanimate, devoted by its owner for sacred purposes, by which action he ceases to be its owner",
Ir Miklat,עיר מקלט,Arei Miklat,ערי מקלט,,City of refuge for accidental murderers,
Issar,איסר,Issarot,אסרות,,specific unit of money,
Kal Vachomer,קל וחומר,,,,<i>a fortiori</i> reasoning,
Karachat,קרחת,,,,blemish that balds the back of the head,
Kasher,כשר,,,,"acceptable, fit, valid",
Kav,קב,"Kavin, Kabim",קבין,,specific unit of volume ,
Kerem Revai,כרם רבעי,,,,"The fruit of a tree in the fourth year after its planting, which must be taken to Jerusalem and consumed there",
Keruv,כרוב,Keruvim,כרובים,,"Sculpted golden, winged figures which were part of the golden cover of the Ark",
Ketoret,קטורת,,,,Holy incense offered twice a day on the golden altar inside the Temple,
Ketubah,כתובה,,"כתבה, כתובות, כתבות",,monetary settlement payable to a married woman upon divorce or the death of her husband,
Kikar,ככר,,,,specific unit of volume,
Kilayim,כלאים,,,,"The product of forbidden crossbreeding or working of certain animals with one another, planting together certain plants, or interweaving certain fibers",
Kodesh,קדש,,,,"Holy items, foodstuff, or animals",
Kodashim Kalim,קדשים קלים,,,,"sacrifices of a lesser degree of sanctity, they may be slaughtered anywhere in the Temple courtyard and consumed by most anyone, anywhere in Jerusalem",
Kodshai Kodashim,קדשי קדשים,,,,"sacrifices of the highest degree of sanctity, they may be slaughtered only on the north-west corner of the altar, and consumed only within the Temple compound by male priests, or burnt entirely.",
Kohen,כהן,"Kohanim, Kohain","כהנים, כוהן",,"Member of priestly caste, subgroup of tribe of Levi, uniquely responsible for maintaining and carrying out the sacrificial services in the Temple","Levi, Korban, Mikash"
Koi,כוי,,,, An animal whose domesticated status is ambiguous,
