Please feel free to add new places, but do *not* edit existing ones.  Thanks! 				
Place (English Name)	Hebrew Name	Geocode - Point	Polygon	Source
Qayrwan (Kairouan), Tunisa	קירואן, תוניסיה	35.6759137, 10.0919243		
Poznań	פוזנן	52.406374, 16.9251681		
Castille	קסטיליה	43.9818863, 4.4751284		
Kracow	קרקוב	50.06465009999999, 19.9449799		
Leszno, Poland	לשנו, פולין	51.85, 16.566667		
Jerusalem	ירושלים	31.768319, 35.21371		
Valozhyn	וולוז'ין	54.0878914, 26.533109		
Lviv	לבוב	49.839683, 24.029717		
Wrocław	ורוצלב	51.1078852, 17.0385376		
Bertinoro	ברטינורא	44.149228, 12.1351499		
Istanbul	איסטנבול	41.0082376, 28.9783589		
Mantua	מנטובה	45.1564168, 10.7913751		
Lublin	לובלין	51.2464536, 22.5684463		
Ludmir, Volhynia	לודמיר, ווהלין	50.848056, 24.322222		
Altona	אלטונה	53.55, 9.933333		
Wallerstein, Bavaria	ולרשטיין, בוואריה	48.8886615, 10.4738301		
Vienna	וינה	48.2081743, 16.3738189		
Lemberg, Galicia	למברג, גליציה	49.839535, 24.0487786		
Pikeliai, Russia	פּיקעלן, רוסיה	56.4169339, 22.1101069		
Aleksandrów Łódzki,	אלכסנדר לודז'	51.8194235, 19.3038202		
Grīva	גריבה	40.95445309999999, 22.4111104		
Padua	פדובה	45.4064349, 11.8767611		
Medzhybizh	מז'יבוז '	49.4389042, 27.4042152		
Liozna	ליוזנה	55.024145, 30.8005553		
Rogasen	רוגוזנו	52.3281711, 12.3592459		
Gąbin	גאבן	52.3974171, 19.7356531		
Poland	פולין	51.919438, 19.145136		
Baghdad	בגדד	33.3128057, 44.3614875		
Ungvar	אונגוואר	48.6208, 22.287883		
Dzyatlava, Belarus	ז'טל, בלארוס	53.46513580000001, 25.4074899		
Speyer	שפייר	49.3172765, 8.441217199999999		
Provence, France	פרובנס, צרפת	46.097248, 4.580979999999999		
Rabat, Morocco	רבאט, מרוקו	34.033333, -6.833333		
Tudela	טודלה	41.5807623, -4.5644275		
Kaunaus	קובנה	54.8985207, 23.9035965		
Girona	גירונה	41.9794005, 2.8214264		
Medinaceli	מדינסלי	41.1717207, -2.4338427		
Łódź	לודז '	51.7592485, 19.4559833		
León, Spain	לאון, ספרד	42.5987263, -5.5670959		
Barcelona	ברצלונה	41.3850639, 2.1734035		
Berdychiv, Ukraine	ברדיצ'ב, אוקראינה	49.9, 28.566667		
Magnuszew, Poland	מגנישוב, פולין	51.75, 21.383333		
Okopy Świętej Trójcy, Poland	אקופ, פולין	48.533333, 26.416667		
Nikolaev, Ukraine	ניקולייב, אוקראינה	46.975033, 31.994583		
Valozhyn, Belarus	וולוז'ין, בלארוס	54.083333, 26.516667		
Tulchyn, Ukraine	טולצ'ין, אוקראינה	48.6739771, 28.8563795		
Sarajevo, Bosnia	סרייבו, בוסניה	43.8573452, 18.4060558		
Maribor, Slovenia	מריבור, סלובניה	46.5546503, 15.6458812		
Norynsk	נורינסק	69.35579, 88.18929380000002		
Stühlingen, Germany	שטולינגן, גרמניה	47.74541869999999, 8.4455184		
Vrbové, Slovakia	ורבובה, סלובקיה	48.62, 17.723611		
Krakow, Poland	קרקוב, פולין	50.06465009999999, 19.9449799		
Skaryszew, Poland	סקרישב, פולין	51.3106091, 21.2523841		
Gorizia	גוריציה	45.9401812, 13.6201754		
Safed	צפת	32.964648, 35.495997		
Vilna	וילנה	54.6871555, 25.2796514		
Baghdad, Iraq	בגדד, עירק	33.3128057, 44.3614875		
Fustat, Egypt	פוסטאט, מצרים	30, 31.23333299999999		
Akko	עכו	32.933052, 35.082678		
Shropshire, England	שרופשייר, אנגליה	52.7063657, -2.7417849		
Lucena, Spain	לוסנה, ספרד	37.4129332, -4.4961008		
Jerusalem, Israel	ירושלים, ישראל	31.768319, 35.21371		
Chios, Greece	כיוס, יוון	38.3709813, 26.1363457		
Krotoschin, Poland	קרטשין, פולין	51.683333, 17.433333		
Venice	ונציה	45.4408474, 12.3155151		
Kremenchuk, Ukraine	קרמנצ'וג, אוקראינה	49.065783, 33.410033		
Narbonne	נרבון	43.184277, 3.003078		
Riga, Latvia	ריגה, לטביה	56.9496487, 24.1051864		
Perpignan, France	פרפיניאן, צרפת	42.6886591, 2.8948332		
Frankfurt am Main, Germany	פרנקפורט, גרמניה	50.1109221, 8.6821267		
Pinsk, Belarus	פינסק, בלארוס	52.11249669999999, 26.0634602		
Naples	נאפולי	40.833333, 14.25		
Brest-Litovsk, Belarus	ברסט-ליטובסק, בלארוס	52.09762139999999, 23.7340503		
Tiberias	טבריה	32.795859, 35.530973		
At Sea	בים			
Kalingrad	קלינינגרד	54.7104264, 20.4522144		
Livorno, Italy	ליבורנו, איטליה	43.548473, 10.3105674		
Frankfurt an der Oder	פרנקפורט על האודר	52.3472237, 14.5505673		
London	לונדון	51.5073509, -0.1277583		
Jaworów, Poland	יאבורוב, פולין	49.946944, 23.393056		
Kraków	קרקוב	50.06465009999999, 19.9449799		
Holleschau	העלשויא	49.332778, 17.578333		
Lemberg	למברג	49.839683, 24.029717		
Krakow	קרקוב	50.06465009999999, 19.9449799		
Stryj	סטרי	49.2656076, 23.8431343		
Karlsruhe	קרלסרוהה	49.0068901, 8.4036527		
Uman	אומן	48.7699292, 30.2154405		
Pena	Pena	43.2893006, -8.3668175		
Rogoźno	Rogozno	52.74965, 17.00343		
Brest, Belarus	ברסט, בלארוס	52.09762139999999, 23.7340503		
Radun	ראדין	49.8928704, 17.9432495		
Regensburg	רגנסבורג	49.0134297, 12.1016236		
Navahrudak	נבהרדק	53.597736, 25.8243706		
Tel Aviv	תל אביב	32.0852999, 34.78176759999999		
Belz, Ukraine	בעלז, אוקראינה	50.3815209, 24.0089352		
New York	ניו יורק	40.7127837, -74.0059413		
Peñafiel	פנאפיל	41.5984715, -4.124511500000001		
Arévalo, Spain	ארבאלו, ספרד	41.058981, -4.7187424		
Góra Kalwaria, Poland	גורה קלוואריה, פולין	51.97646599999999, 21.215337		
Międzybóż, Poland	מז'יבוז'	51.3962482, 17.6660338		
Uman, Ukraine	אומן, אוקראינה	48.7699292, 30.2154405		
Silistra, Bulgaria	סיליסטרה, בולגריה	44.1147271, 27.2671901		
Neustadt, Austria	נוישטט, אוסטריה	48.40229, 14.56658		
Chernobyl	צ'רנוביל	51.2763027, 30.2218992		
Berlin, Germany	ברלין, גרמניה	52.52000659999999, 13.404954		
Lviv, Ukraine	לבוב, אוקראינה	49.839683, 24.029717		
Tykocin, Poland	טיקוצ'ין, פולין	53.2062669, 22.7740605		
Montreal	מונטריאול	45.5016889, -73.567256		
Damascus	דמשק	33.5138073, 36.2765279		
Philadelphia	פילדלפיה	39.9525839, -75.1652215		
Uzhgorod	אוז'הורוד	48.6208, 22.287883		
Raduń	ראדין	49.8928704, 17.9432495		
Pinsk	פינסק	52.11249669999999, 26.0634602		
Alexandria	אלכסנדריה	31.2, 29.916667		
Adrianople/Safed	אדירנה / צפת	32.964648, 35.495997		
Byzantine	ביזנטי	41.01224, 28.976018		
Amsterdam	אמסטרדם	52.3702157, 4.895167900000001		
Rhineland	ריינלנד	50.366667, 7.6		
Fustat	פוסטאט	30, 31.23333299999999		
Neustadt	נוישטט	49.3501864, 8.1486886		
Sefrou	צפרו	33.8305244, -4.835315400000001		
Soncino	שונצינו	45.4009014, 9.8730043		
Barco	ברקו	36.3880128, -75.9785818		
Istanbul/Vilnius	איסטנבול / וילנה	54.6871555, 25.2796514		
Thessaloniki	סלוניקי	40.6400629, 22.9444191		
Chicago	שיקגו	41.8781136, -87.6297982		
Bologna	בולוניה	44.494887, 11.3426163		
Rome	רומא	41.9027835, 12.4963655		
Dyhernfurth	דיהרנפורט	51.270833, 16.720833		
Warsaw	ורשה	52.2296756, 21.0122287		
Pieve di Sacco	פיובה די סאקו	45.8459328, 12.1754433		
Zhitomer/Warsaw	ז'יטומיר / ורשה	52.2296756, 21.0122287		
Berlin	ברלין	52.52000659999999, 13.404954		
Koretz	קוריץ	50.616667, 27.166667		
Offenbach	אופנבך	50.09563620000001, 8.776084299999999		
Guadalajara, Spain	גוודלחרה, ספרד	40.632489, -3.16017		
Sousse	סוס	35.825603, 10.608395		
Salwuta	סלאוויטא	29.2964866, 48.079379		
Zhovkva	ז'ובקבה	50.0588756, 23.9736471		
Sudlikov	סדילקוב	50.1724534, 27.1352444		
Vilnius/Grodno	וילנה / גרודנו	53.6693538, 23.8131306		
Fano	פאנו	43.8398164, 13.0194201		
Riga	ריגה	56.9496487, 24.1051864		
Leipzig	לייפציג	51.3396955, 12.3730747		
Shiklov	שקלוב	54.2190412, 30.2777463		
Hamburg	המבורג	53.5510846, 9.9936818		
Djerba	ג'רבה	33.8075978, 10.8451467		
Frankurt au Main	פרנקפורט על המיין	50.1109221, 8.6821267		
Zolkiev	ז'ובקבה	50.0588756, 23.9736471		
Lodz	לודז '	51.7592485, 19.4559833		
Fes, Morocco	פס, מרוקו	34.033333, -5		
Metz, France	מץ, צרפת	49.120278, 6.177778		
Budapest	בודפשט	47.4925, 19.051389		
Ferrara	פרארה	44.833333, 11.616667		
Mühringen	Mühringen	48.4188, 8.7558		
Ostroh	אוסטראה	50.333333, 26.516667		
Fayyum	פיום	29.308374, 30.844105		
Saragossa	סרגוסה	41.65, -0.883333		
Posen	פוזן	52.4, 16.916667		
Nikopol	ניקופול	47.566667, 34.4		
Brezovica, Slovenia	ברזובקה, סלובניה	46.020658, 14.417761		
Belarus	בלארוס	53.916667, 27.55		
Hungary	הונגריה	47, 20		
Latvia	לטביה	57, 25		
Moravia	מוראביה	49.5, 17		
Ukraine	אוקראינה	50.45, 30.5		
Middle-Age Spain	ספרד של ימי הביניים	40.433333, -3.7	{"type": "Polygon","coordinates": [[[-9.034817674180246,41.880570583659676],[-8.984433152695672,42.59277517350627],[-9.392883673530648,43.0266246608127],[-7.97818966310831,43.74833771420099],[-6.754491746436756,43.567909450853925],[-5.411886359061597,43.57423981380968],[-4.347842779955783,43.40344920508504],[-3.517531704106091,43.4559007838613],[-1.901351284177764,43.42280202897834],[-1.502770961910528,43.03401439063043],[0.338046909190581,42.57954600683955],[0.701590610363894,42.795734361332606],[1.826793247087153,42.34338471126569],[2.985998976258458,42.47301504166986],[3.039484083680549,41.892120266276905],[2.091841668312185,41.226088568683096],[0.810524529635188,41.01473196060934],[0.721331007499401,40.678318386389236],[0.106691521819869,40.12393362076202],[-0.278711310212941,39.30997813573272],[0.111290724293838,38.73851430923304],[-0.467123582349103,38.29236583104115],[-0.683389451490598,37.642353827457825],[-1.438382127274849,37.44306366632422],[-2.146452602538119,36.67414419203729],[-3.415780808923387,36.65889964451118],[-4.368900926114719,36.677839056946155],[-4.995219285492212,36.32470815687964],[-5.377159796561457,35.946850083961465],[-5.866432257500904,36.02981659600606],[-6.236693894872175,36.367677110330334],[-6.520190802425404,36.94291331638732],[-7.453725551778092,37.09778758396607],[-7.537105475281024,37.42890432387624],[-7.166507941099865,37.803894354802225],[-7.029281175148796,38.07576406508977],[-7.374092169616318,38.37305858006492],[-7.098036668313128,39.03007274022379],[-7.498632371439726,39.62957103124181],[-7.066591559263529,39.711891587882775],[-7.026413133156595,40.184524237624245],[-6.864019944679385,40.33087189387483],[-6.851126674822552,41.11108266861753],[-6.389087693700915,41.381815497394655],[-6.668605515967656,41.883386949219584],[-7.251308966490824,41.91834605566505],[-7.422512986673795,41.79207469335984],[-8.013174607769912,41.790886135417125],[-8.263856980817792,42.28046865495034],[-8.67194576662672,42.13468943945496],[-9.034817674180246,41.880570583659676]]]}	
Middle-Age Germany	גרמניה של ימי הביניים	52.516667, 13.383333	{"type": "Polygon","coordinates": [[[9.921906365609232,54.98310415304803],[9.9395797054529,54.596641954153256],[10.950112338920519,54.363607082733154],[10.93946699386845,54.00869334575259],[11.956252475643282,54.19648550070116],[12.518440382546714,54.470370591847995],[13.647467075259499,54.0755109727059],[14.119686313542559,53.75702912049104],[14.353315463934166,53.248171291713106],[14.074521111719434,52.98126251892535],[14.437599725002201,52.624850165408304],[14.685026482815715,52.089947414755216],[14.607098422919648,51.74518809671997],[15.016995883858783,51.10667409932171],[14.570718214586122,51.00233938252438],[14.307013380600665,51.11726776794137],[14.056227654688314,50.92691762959436],[13.338131951560399,50.73323436136428],[12.96683678554325,50.48407644306917],[12.240111118222671,50.26633779560723],[12.415190870827473,49.96912079528062],[12.521024204161336,49.54741526956275],[13.031328973043514,49.30706818297324],[13.595945672264577,48.877171942737164],[13.243357374737116,48.41611481382904],[12.884102817443875,48.28914581968786],[13.025851271220517,47.63758352313596],[12.932626987366064,47.467645575544],[12.620759718484521,47.672387600284424],[12.141357456112871,47.70308340106578],[11.426414015354851,47.52376618101306],[10.544504021861599,47.5663992376538],[10.402083774465325,47.30248769793917],[9.89606814946319,47.580196845075704],[9.594226108446378,47.5250580918202],[8.522611932009795,47.83082754169135],[8.317301466514095,47.61357982033627],[7.466759067422288,47.62058197691192],[7.593676385131062,48.33301911070373],[8.099278598674857,49.01778351500343],[6.65822960778371,49.20195831969164],[6.186320428094177,49.463802802114515],[6.242751092156993,49.90222565367873],[6.043073357781111,50.128051662794235],[6.15665815595878,50.80372101501058],[5.988658074577813,51.851615709025054],[6.589396599970826,51.852029120483394],[6.842869500362383,52.22844025329755],[7.092053256873896,53.144043280644894],[6.905139601274129,53.48216217713065],[7.100424838905269,53.69393219666267],[7.936239454793963,53.74829580343379],[8.121706170289485,53.52779246684429],[8.800734490604668,54.020785630908904],[8.57211795414537,54.39564647075406],[8.526229282270208,54.96274363872516],[9.282048780971138,54.83086538351631],[9.921906365609232,54.98310415304803]]]}	Modern Germany 110m
Middle-Age France	צרפת של ימי הביניים	48.856667, 2.350833	{"type": "MultiPolygon","coordinates": [[[[-52.55642473001839,2.504705308437053],[-52.93965715189498,2.124857692875622],[-53.418465135295264,2.053389187016037],[-53.554839240113495,2.334896551925965],[-53.778520677288896,2.376702785650053],[-54.08806250671728,2.105556545414629],[-54.52475419779975,2.311848863123785],[-54.27122962097579,2.738747870286943],[-54.18428402364475,3.194172268075235],[-54.01150387227682,3.622569891774859],[-54.399542202356514,4.212611395683481],[-54.47863298197922,4.896755682795643],[-53.95804460307093,5.756548163267809],[-53.618452928264844,5.646529038918402],[-52.88214128275408,5.409850979021599],[-51.82334286152593,4.565768133966145],[-51.65779741067888,4.156232408053029],[-52.249337531123984,3.241094468596287],[-52.55642473001839,2.504705308437053]]],[[[9.560016310269134,42.15249197037957],[9.229752231491773,41.38000682226445],[8.775723097375362,41.58361196549444],[8.54421268070783,42.256516628583086],[8.746009148807588,42.62812185319396],[9.390000848028905,43.00998484961474],[9.560016310269134,42.15249197037957]]],[[[3.588184441755715,50.37899241800358],[4.286022983425141,49.907496649772554],[4.799221632515753,49.98537303323633],[5.674051954784886,49.52948354755745],[5.897759230176376,49.44266714130717],[6.186320428094206,49.46380280211446],[6.658229607783539,49.201958319691556],[8.099278598674772,49.01778351500337],[7.593676385131062,48.33301911070373],[7.466759067422231,47.620581976911865],[7.192202182655535,47.44976552997099],[6.736571079138088,47.54180125588289],[6.768713820023635,47.28770823830368],[6.037388950228973,46.72577871356191],[6.022609490593567,46.272989813820516],[6.500099724970454,46.42967275652944],[6.843592970414562,45.99114655210067],[6.802355177445662,45.70857982032868],[7.096652459347837,45.333098863295874],[6.749955275101712,45.02851797136759],[7.007562290076663,44.25476675066139],[7.549596388386163,44.12790110938482],[7.435184767291844,43.69384491634918],[6.529245232783069,43.12889232031836],[4.556962517931396,43.39965098731159],[3.10041059735272,43.075200507167125],[2.985998976258486,42.473015041669896],[1.826793247087181,42.34338471126566],[0.701590610363922,42.79573436133265],[0.338046909190581,42.579546006839564],[-1.502770961910471,43.03401439063049],[-1.901351284177736,43.42280202897834],[-1.384225226232957,44.02261037859017],[-1.193797573237362,46.014917710954876],[-2.225724249673789,47.06436269793821],[-2.963276129559574,47.570326646507965],[-4.491554938159481,47.95495433205642],[-4.592349819344747,48.68416046812695],[-3.295813971357745,48.901692409859635],[-1.616510789384932,48.644421291694584],[-1.933494025063254,49.77634186461577],[-0.98946895995536,49.347375800160876],[1.338761020522753,50.12717316344526],[1.6390010921385,50.946606350297515],[2.513573032246171,51.14850617126186],[2.658422071960331,50.79684804951566],[3.123251580425716,50.78036326761452],[3.588184441755715,50.37899241800358]]]]}	Modern France 110m
Middle-Age Italy	איטליה של ימי הביניים	41.9, 12.483333	{"type": "MultiPolygon","coordinates": [[[[15.520376010813834,38.23115509699147],[15.160242954171736,37.44404551853782],[15.309897902089006,37.1342194687318],[15.09998823411945,36.6199872909954],[14.335228712632016,36.996630967754754],[13.82673261887993,37.1045313583802],[12.431003859108813,37.61294993748382],[12.570943637755136,38.12638113051969],[13.741156447004585,38.03496552179536],[14.76124922044616,38.143873602850505],[15.520376010813834,38.23115509699147]]],[[[9.210011834356266,41.20999136002422],[9.809975213264977,40.5000088567661],[9.669518670295673,39.177376410471794],[9.21481774255949,39.240473334300134],[8.80693566247973,38.90661774347848],[8.428302443077115,39.17184703221662],[8.38825320805094,40.378310858718805],[8.15999840661766,40.95000722916379],[8.709990675500109,40.89998444270523],[9.210011834356266,41.20999136002422]]],[[[12.376485223040845,46.76755910906988],[13.806475457421556,46.50930613869119],[13.698109978905478,46.016778062517375],[13.937630242578336,45.591015936864665],[13.141606479554298,45.73669179949542],[12.328581170306308,45.381778062514854],[12.383874952858605,44.88537425391908],[12.261453484759159,44.600482082694015],[12.589237094786483,44.091365871754476],[13.526905958722494,43.58772736263791],[14.029820997787027,42.76100779883248],[15.142569614327954,41.955139675456905],[15.926191033601896,41.96131500911574],[16.169897088290412,41.740294908203424],[15.889345737377795,41.5410822617182],[16.785001661860576,41.179605617836586],[17.519168735431208,40.87714345963224],[18.376687452882578,40.35562490494266],[18.480247023195403,40.168866278639825],[18.2933850440281,39.81077444107325],[17.738380161213286,40.2776710068303],[16.869595981522338,40.44223460546385],[16.448743116937322,39.79540070246648],[17.1714896989715,39.42469981542072],[17.052840610429342,38.902871202137305],[16.635088331781844,38.8435724960824],[16.100960727613057,37.98589874933418],[15.684086948314501,37.90884918878703],[15.68796268073632,38.214592800441864],[15.891981235424709,38.750942491199226],[16.109332309644316,38.96454702407769],[15.718813510814641,39.544072374014945],[15.413612501698822,40.04835683853517],[14.998495721098237,40.17294871679093],[14.70326826341477,40.604550279292624],[14.060671827865264,40.78634796809544],[13.627985060285397,41.188287258461656],[12.88808190273042,41.25308950455562],[12.10668257004491,41.70453481705741],[11.191906365614187,42.35542531998968],[10.511947869517797,42.931462510747224],[10.200028924204048,43.920006822274615],[9.702488234097814,44.03627879493132],[8.88894616052687,44.36633616797954],[8.428560825238577,44.23122813575242],[7.850766635783202,43.76714793555524],[7.435184767291844,43.69384491634918],[7.549596388386163,44.12790110938482],[7.007562290076663,44.25476675066139],[6.749955275101712,45.02851797136759],[7.096652459347837,45.333098863295874],[6.802355177445662,45.70857982032868],[6.843592970414562,45.99114655210067],[7.273850945676685,45.77694774025076],[7.755992058959833,45.82449005795928],[8.31662967289438,46.163642483090854],[8.489952426801295,46.00515086525175],[8.966305779667834,46.036931871111165],[9.182881707403112,46.44021474871698],[9.922836541390353,46.31489940040919],[10.363378126678668,46.483571275409844],[10.442701450246602,46.893546250997446],[11.048555942436508,46.7513585475464],[11.164827915093326,46.94157949481274],[12.153088006243081,47.11539317482644],[12.376485223040845,46.76755910906988]]]]}	
Middle-Age Poland	פולין של ימי הביניים	52.216667, 21.033333	{"type": "Polygon","coordinates": [[[15.01699588385867,51.10667409932158],[14.607098422919535,51.74518809671997],[14.685026482815687,52.0899474147552],[14.437599725002201,52.62485016540839],[14.074521111719491,52.98126251892543],[14.353315463934138,53.24817129171297],[14.119686313542587,53.75702912049104],[14.802900424873458,54.05070628520575],[16.36347700365573,54.513158677785725],[17.622831658608675,54.85153595643291],[18.62085859546164,54.68260569927078],[18.696254510175464,54.43871877706929],[19.660640089606403,54.42608388937393],[20.892244500418627,54.31252492941253],[22.731098667092652,54.327536932993326],[23.24398725758951,54.22056671814914],[23.48412763844985,53.91249766704114],[23.527535841575002,53.470121568406555],[23.80493493011778,53.089731350306074],[23.79919884613338,52.69109935160657],[23.199493849386187,52.48697744405367],[23.508002150168693,52.02364655212473],[23.527070753684374,51.57845408793024],[24.029985792748903,50.70540660257518],[23.922757195743262,50.42488108987875],[23.426508416444392,50.308505764357456],[22.518450148211603,49.47677358661974],[22.776418898212626,49.02739533140962],[22.558137648211755,49.085738023467144],[21.607808058364213,49.47010732685409],[20.887955356538413,49.32877228453583],[20.415839471119853,49.43145335549977],[19.825022820726872,49.21712535256923],[19.320712517990472,49.571574001659194],[18.90957482267632,49.435845852244576],[18.853144158613617,49.49622976337764],[18.392913852622172,49.98862864847075],[17.64944502123899,50.049038397819956],[17.55456709155112,50.36214590107642],[16.86876915860566,50.47397370055603],[16.719475945714436,50.21574656839354],[16.176253289462267,50.42260732685791],[16.23862674323857,50.69773265237984],[15.490972120839729,50.78472992614321],[15.01699588385867,51.10667409932158]]]}	Modern Poland 110m
Sinai/Canaan	סיני / כנען	29.5, 33.833333	{"type": "Polygon","coordinates": [[[35.71991824722275,32.709192409794866],[35.804443359375,30.741835717889792],[35.48583984375,27.858503954841247],[33.83789062499999,27.63487379134253],[32.047119140625,27.839076094777816],[32.01416015625,31.137603270021266],[33.189697265625,31.05293398570514],[34.12353515625,31.269160890477654],[34.48810713068136,31.60553884533732],[34.75258711115117,32.07292633720117],[34.95541710789678,32.82737641044638],[35.098457472480675,33.080539252244265],[35.126052687324545,33.09090037691878],[35.460709262846706,33.08904002535628],[35.55279666519081,33.26427480725802],[35.82110070165024,33.2774264592763],[35.836396925608625,32.86812327730851],[35.70079796727475,32.71601369885738],[35.71991824722275,32.709192409794866]]]}	
Canaan	כנען	32, 35	{"type": "Polygon","coordinates": [[[34.859619140625,32.32891738775126],[34.947509765625,32.80574473290688],[35.057373046875,32.838058359277056],[35.1177978515625,33.100745405144245],[35.2001953125,33.19732768648872],[35.2496337890625,33.35806161277885],[35.7110595703125,33.31216783738619],[35.5352783203125,31.18930843952816],[34.4970703125,31.56449510799119],[34.859619140625,32.32891738775126]]]}	
Judea/Israel	יהודה / ישראל	31.698889, 35.306389	{"type": "Polygon","coordinates": [[[34.859619140625,32.32891738775126],[34.947509765625,32.80574473290688],[35.057373046875,32.838058359277056],[35.1177978515625,33.100745405144245],[35.2001953125,33.19732768648872],[35.2496337890625,33.35806161277885],[35.7110595703125,33.31216783738619],[35.5352783203125,31.18930843952816],[34.4970703125,31.56449510799119],[34.859619140625,32.32891738775126]]]}	
State of Israel	מדינת ישראל	31.698889, 35.306389		
Shushan	שושן	32.190556, 48.257778		
Babylon (City)	בבל (עיר)	32.536389, 44.420833		
