													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Primary English Title	Author	English Description	Hebrew Description	Composition Year (loazi)	Composition Year Margin of Error (+/- years)	Place composed	Year of first publication	Place of first publication	Era	Alternate English Titles	Primary Hebrew Title	Alternate Hebrew Titles	Categories
Genesis	N/A	The Torah includes the first five of the twenty four books of the Tanakh. According to rabbinic tradition, the written laws together with the oral laws, which make up the halakhah were given through prophecy to Moses. Jewish tradition divides the book into parashiyot (sections). Each section corresponds to the weekly reading. The entire book is read over the course of one year. Christians divided the book into chapters and verses. This division has been used by Jews since the Middle Ages. The first book of the Torah is called Bereshith (Genesis) and contains only three laws. It traces the primeval history of the world starting with the creation of the world, Adam and Eve in the Garden of Eden, Cain and Abel and Noah and the flood. Afterwards the focus shifts to the history of the Children of Israel covering the three patriarchs; Abraham, Isaac and Jacob, and the four matriarchs; Sarah, Rebekah, Leah and Rachel. It concludes with the rivalry between Jacob's ten sons and his favoured son Joseph.		-900	500	Sinai/Canaan	1488	Soncino	Biblical	Bereshit,Gen,Gen.,Breishit,Ber,Bereishit,Ber.	בראשית		Tanach,Torah
Exodus	N/A	The Torah includes the first five of the twenty four books of the Tanakh. According to rabbinic tradition, the written laws together with the oral laws, which make up the halakhah were given through prophecy to Moses. Jewish tradition divides the book into parashiyot (sections). Each section corresponds to the weekly reading. The entire book is read over the course of one year. Christians divided the book into chapters and verses. This division has been used by Jews since the Middle Ages. The second book of the Torah is called Shemot (Exodus) and covers Moses’ childhood in Egypt and God’s appearance to him in a burning bush. Moses is commanded to redeem the Children of Israel from slavery in Egypt but Pharoah refuses. Following the ten plagues and the crossing of the Red Sea, Moses leads the people to Mt. Sinai where they receive God’s Torah (Law) and Berit (Covenant). Immediately afterwards the people violate this Berit (Covenant) by creating and worshipping a Golden Calf. The book also includes the instructions for building the Tabernacle and many laws to do with torts.		-900	500	Sinai/Canaan	1488	Soncino	Biblical	Exod.,Ex.,Exo,Shmot,Shemot,Ex,Exo.,Exod	שמות		Tanach,Torah
Leviticus	N/A	The Torah includes the first five of the twenty four books of the Tanakh. According to rabbinic tradition, the written laws together with the oral laws, which make up the halakhah were given through prophecy to Moses. Jewish tradition divides the book into parashiyot (sections). Each section corresponds to the weekly reading. The entire book is read over the course of one year. Christians divided the book into chapters and verses. This division has been used by Jews since the Middle Ages. Vayikra (Leviticus) also called Torah HaKohanim has very little narrative. It begins with the instructions and building of the Mishkan (Tabernacle). The remainder of the book is entirely devoted to legal questions about what are clean and unclean, laws for slaughtering animals, which animals are Kasher (fit) to eat and priestly laws of Yom Kippur (Day of Atonement). It also includes various moral and ritual laws to do with maintaining the sanctity of religious worship and a detailed list of punishments incurred for violations.		-900	500	Sinai/Canaan	1488	Soncino	Biblical	Vayikra,Lev.,Lev	ויקרא		Tanach,Torah
Numbers	N/A	The Torah includes the first five of the twenty four books of the Tanakh. According to rabbinic tradition, the written laws together with the oral laws, which make up the halakhah were given through prophecy to Moses. Jewish tradition divides the book into parashiyot (sections). Each section corresponds to the weekly reading. The entire book is read over the course of one year. Christians divided the book into chapters and verses. This division has been used by Jews since the Middle Ages. Bemidbar (Numbers) relates the consolidation of Israel as a community in the Sinai and God taking up residence in the Mishkan (Tabernacle). They are now commanded to take possession of the Promised Law. The people are numbered and preparations are made. However there is considerable grumbling about the hardships of the desert journey and rebellions against the authority of Moses and Aaron. This sees God destroy about 15,000 by various means. When the people arrive at the Promise Land they send out spies who return with unfavourable reports. This ends with God punishing the remaining Israelites to wander the desert for 40 years until a new generation of Israelites returns to the Plain of Moab read to cross the river Jordan.		-900	500	Sinai/Canaan	1488	Soncino	Biblical	Num.,Num,Bamidbar,Bemidbar	במדבר		Tanach,Torah
Deuteronomy	N/A	The Torah includes the first five of the twenty four books of the Tanakh. According to rabbinic tradition, the written laws together with the oral laws, which make up the halakhah were given through prophecy to Moses. Jewish tradition divides the book into parashiyot (sections). Each section corresponds to the weekly reading. The entire book is read over the course of one year. Christians divided the book into chapters and verses. This division has been used by Jews since the Middle Ages. Devarim (Deuteronomy) consists of three sermons by Moses delivered shortly before entering the Promised Land. The first sermon recalls the period of forty years of wondering in the wilderness and concludes with an exhortation to observe the Torah’s commandments. The second reminds the Israelites to remain loyal to God and not to follow strange gods. To observe the laws He has given them, on which possession of the Promised Land is dependent. The third provides comfort that even if Israel is unfaithful and exiled from the land, through repentance a return is possible.		-900	500	Sinai/Canaan	1488	Soncino	Biblical	Deu.,Devarim,Deu,Deut.,Deut	דברים		Tanach,Torah
Joshua	N/A	The first of the four books making up the Neviim Rishonim (Early Prophets) - Joshua begins with a commandment to take possession of Canaan and a warning to Joshua to keep faith with the Covenant. Then the Israelites cross the Jordan through the miraculous intervention of God and the Ark of the Covenant and are circumcised. The conquest of Canaan begins with Jericho and Ai and renewal of the Berit (Covenant). The book continues with the conquest of the south of country before the narratives moves on to the northern campaign. Joshua defeats a multi-ethic coalition headed by the King of Hazor. The book shifts from the conquest of the land to its division between the tribes. The book concludes with Joshua charging the leaders of Israel to remain faithful to God and a warning of the consequences of not doing so.		-900	400	Canaan	1488	Soncino	Biblical	Jos,Yehoshua,Jos.,Josh,Josh.	יהושע		Tanach,Prophets
Judges	N/A	The second of the four books making up the Neviim Rishonim (Early Prophets) - Shofetim (Judges) is divided into three major sections: a double prologue, a main body and a double epilogue. The book opens with the Israelites in the land of Canaan which God has promised to them, but worshiping foreign gods. The main body gives six accounts each concerning a major judge and their struggles against the oppressive kings of the surrounding nations. The main judges are Othniel, Ehud, Deborah and Barak, Gideon, Abimelch an Israelite who oppresses his own people, Jephthah and Samson. The minor judges are Shamgar, Tola, Jair, Ibzan, Elon and Abdon. The Epilogue concludes with stories that are not connected to a specific judge; Dan and the Idols of Micah and Gibeah and the Levite Concubine.		-900	400	Canaan	1488	Soncino	Biblical	Shoftim,Jdg,Judg,Jdg.,Judg.	שופטים		Tanach,Prophets
I Samuel	N/A	The third of the four books making up the Neviim Rishonim (Early Prophets) - Shemuel (Samuel) is divided into two parts and chronicles the birth of Samuel and God’s call to him as a boy. Samuel begins with the Prophet's birth and God's call to him as a boy. The story of the Ark of the Covenant that follows tells of Israel's oppression by the Philistines and their capturing of the Ark of the Covenant. Samuel appeals to God and the Philistines are decisively beaten. As Samuel grows old the people clamour for a King. Reluctantly Samuel appoints Saul from the tribe of Benjamin as King. Saul defeats the enemies of the Israelites, but sins against God. Samuel is then commanded to anoint David as King. Saul’s son and heir Jonathan befriends David but jealous, Saul plots David's death. David flees into the wilderness, where joins the Philistines, but continues secretly to champion his own people, until Saul and Jonathan are killed in battle. At this point, David offers a majestic eulogy, where he praises the bravery and magnificence of both his friend Jonathan and King Saul. David defeats Israel’s enemies, captures Jerusalem and brings the Ark to there. David wishes to build a temple, but Nathan tells him that one of David's sons will build the temple. David also commits adultery with Bathsheba and plots the death of her husband; for this God sends disasters against his house. For the remainder of his reign there are problems: one of his sons rapes one of his daughters, another son kills the first, his favourite son rebels and is killed, until finally only two contenders for the succession remain, one of them Bathsheba's son Solomon.		-750	250	Judea/Israel	1488	Soncino	Biblical	I Sam.,1Sam.,First Samuel,Shmuel Aleph,1Sam,I Shmuel,Samuel I,Shmuel I,1 Samuel,I Sam,I Shemuel	שמואל א	ש״א,ש"א,שמואל א׳,שמואל א'	Tanach,Prophets
II Samuel	N/A	The third of the four books making up the Neviim Rishonim (Early Prophets) - Shemuel (Samuel) is divided into two parts and chronicles the birth of Samuel and God’s call to him as a boy. Samuel begins with the Prophet's birth and God's call to him as a boy. The story of the Ark of the Covenant that follows tells of Israel's oppression by the Philistines and their capturing of the Ark of the Covenant. Samuel appeals to God and the Philistines are decisively beaten. As Samuel grows old the people clamour for a King. Reluctantly Samuel appoints Saul from the tribe of Benjamin as King. Saul defeats the enemies of the Israelites, but sins against God. Samuel is then commanded to anoint David as King. Saul’s son and heir Jonathan befriends David but jealous, Saul plots David's death. David flees into the wilderness, where joins the Philistines, but continues secretly to champion his own people, until Saul and Jonathan are killed in battle. At this point, David offers a majestic eulogy, where he praises the bravery and magnificence of both his friend Jonathan and King Saul. David defeats Israel’s enemies, captures Jerusalem and brings the Ark to there. David wishes to build a temple, but Nathan tells him that one of David's sons will build the temple. David also commits adultery with Bathsheba and plots the death of her husband; for this God sends disasters against his house. For the remainder of his reign there are problems: one of his sons rapes one of his daughters, another son kills the first, his favourite son rebels and is killed, until finally only two contenders for the succession remain, one of them Bathsheba's son Solomon.		-750	250	Judea/Israel	1488	Soncino	Biblical	2Sam,Second Samuel,Shmuel Bet,Shmuel II,Samuel II,2 Sam,II Shmuel,II Sam.,II Sam,2Sam.,2 Samuel,II Shemuel	שמואל ב	ש״ב,ש"ב,שמואל ב׳,שמואל ב'	Tanach,Prophets
