key,en,he
SUBSCRIBE_TITLE,"Sign Up for Emails","הירשם לאימיילים"
MANAGE_TITLE,"Manage Your Subscriptions","נהל את המינויים שלך"
SUBSCRIBE_SUBTITLE,"You can now log into your Sefaria account on the mobile app to sync your reading history and saved texts on your mobile device.","כעת תוכל להתחבר לחשבון Sefaria שלך באפליקציה הניידת כדי לסנכרן את היסטוריית הקריאה והטקסטים השמורים שלך במכשיר הנייד שלך."
MANAGE_SUBTITLE,"Choose which newsletters you'd like to receive.","בחר אילו ניוזלטרים תרצה לקבל."
OPTIONAL,"(Optional)","(אופציונלי)"
NAME_SECTION,"Name","שם"
CONTACT_SECTION,"Contact","יצירת קשר"
SELECT_LISTS_SECTION,"Select the lists you wish to subscribe to:","בחר את הרשימות שאליהן ברצונך להירשם:"
FINISHED_SECTION,"Finished?","סיימת?"
SUBMIT,"Submit","שלח"
SUBMITTING,"Submitting...","שולח..."
SUBSCRIBE,"Subscribe","הרשמו"
SUBSCRIBING,"Subscribing...","הרשמה..."
UPDATE_PREFERENCES,"Update Preferences","עדכנו העדפות"
UPDATING,"Updating...","עדכון..."
THANK_YOU,"Thank you!","תודה רבה!"
CONFIRMATION_SENT,"We've sent a confirmation to","שלחנו אישור ל"
SHOULD_SEE_SOON,"You should see it soon.","אתה צריך לראות אותו בקרוב."
SUBMISSION_RECEIVED,"We've received your submission.","קיבלנו את ההגשה שלך."
PREFERENCES_SAVED,"Your preferences have been saved.","ההעדפות שלך נשמרו."
SUBSCRIBED_TO,"You've subscribed to:","הרשמת לרשימה:"
UNSUBSCRIBED_FROM,"You've unsubscribed from:","ביטלת את הרשמתך מ:"
PREFERENCES_UP_TO_DATE,"Your preferences are up to date.","ההעדפות שלך מעודכנות."
OPTED_OUT_MARKETING,"You've opted out of marketing emails.","ביטלת קבלת מיילים שיווקיים."
HELP_TAILOR_CONTENT,"Help us tailor your content","עזור לנו להתאים את התוכן שלך"
LEARNING_LEVEL_SUBTITLE,"To make sure we send you the most relevant content, please let us know your learning level. Help us get to know you better.","כדי לוודא שאנו שולחים לך את התוכן הרלוונטי ביותר, אנא הודע לנו את רמת הלמידה שלך. עזור לנו להכיר אותך טוב יותר."
LEARNING_LEVEL_HEADER,"In terms of your ability to study Jewish texts, select the statement below that best describes you:","מבחינת היכולת שלך ללמוד טקסטים יהודיים, בחר את ההיגד למטה שמתאר אותך בצורה הטובה ביותר:"
SAVE_MY_LEVEL,"Save my level","שמור את הרמה שלי"
SAVING,"Saving...","שמירה..."
SKIP_TO_HOMEPAGE,"No thanks, take me to the homepage","לא תודה, קח אותי לדף הבית"
ALL_SET,"All set!","הכל מוכן!"
THANKS_FOR_JOINING,"Thank you for joining our community. We're excited to share more with you.","תודה שהצטרפת לקהילה שלנו. אנחנו שמחים לשתף עוד איתך."
RETURN_TO_SEFARIA,"Return to Sefaria","חזור ל-Sefaria"
PRIVACY_NOTE,"We respect your privacy. You can unsubscribe from any newsletter at any time.","אנחנו מכבדים את הפרטיות שלך. אתה יכול להתנתק מכל ניוזלטר בכל עת."
MARKETING_EMAIL_QUESTION,"Do you want to receive email updates from Sefaria?","האם תרצו לקבל עדכונים במייל מספריא?"
YES,"Yes","כן"
NO,"No","לא"
ADMIN_EMAILS_NOTE,"Note: You will still receive administrative emails regarding your account and donations.","הערה: עדיין תקבלו הודעות מנהליות בנוגע לחשבון שלכם ולתרומות."
FIX_ERRORS,"Please fix the following errors:","אנא תקן את השגיאות הבאות:"
ENTER_FIRST_NAME,"Please enter your first name.","אנא הזן את שמך הפרטי."
ENTER_EMAIL,"Please enter your email address.","אנא הזן את כתובת הדוא""ל שלך."
VALID_EMAIL,"Please enter a valid email address.","אנא הזן כתובת דוא""ל תקינה."
EMAILS_MISMATCH,"Email addresses do not match.","כתובות הדוא""ל אינן תואמות."
SELECT_NEWSLETTER,"Please select at least one newsletter.","אנא בחר לפחות ניוזלטר אחד."
SELECT_LEARNING_LEVEL,"Please select a learning level.","אנא בחר רמת למידה."
GENERIC_ERROR,"Sorry, there was an error. Please try again.","מצטערים, אירעה שגיאה. אנא נסה שוב."
